Purchasing Document,Item,Supplier,Material,Plant,Storage Location,Order Quantity,Order Unit,Net Order Price,Price Unit,Net Order Value,Conditions Not Applied Percentage,YDRG,YDRG Value,YSTD,YSTD Value,YAAS,YAAS Value,YADV,YADV Value,YAMS,YAMS Value,YDAS,YDAS Value,YDSP,YDSP Value,YCSR,YCSR Value,YPRO,YPRO Value,YTOP,YTOP Value,YHVK,YHVK Value,YECM,YECM Value,YDRW,YDRW Value,YSWL,YSWL Value,YLOY,YLOY Value,YSPC,YSPC Value,YDRK,YDRK Value,Total Value 
4103516827,60,2074,850040102,G007,SL01,6,EA,280.26,1,280.26,YSTD - -5.46%,0,0.0,-5.46%,-15.302196,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.302196
4103516827,70,2074,850040080,G007,SL01,6,EA,206.22,1,206.22,YSTD - -5.46%,0,0.0,-5.46%,-11.259612,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-11.259612
4103516827,80,2074,850040268004,G007,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516827,90,2074,850040268003,G007,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516827,100,2074,850040268002,G007,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516827,110,2074,850040268001,G007,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516827,120,2074,850040372,G007,SL01,4,EA,280.44,1,280.44,YSTD - -5.46%,0,0.0,-5.46%,-15.312024000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.312024000000001
4103516827,130,2074,850040363,G007,SL01,6,EA,192.42,1,192.42,YSTD - -5.46%,0,0.0,-5.46%,-10.506132,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-10.506132
4103516827,140,2074,850040362,G007,SL01,12,EA,450.0,1,450.0,YSTD - -5.46%,0,0.0,-5.46%,-24.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-24.57
4103516827,150,2074,850040361,G007,SL01,6,EA,290.22,1,290.22,YSTD - -5.46%,0,0.0,-5.46%,-15.846012000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.846012000000002
4103516828,10,2074,850040268004,G008,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516828,20,2074,850040268003,G008,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516828,30,2074,850040268002,G008,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516828,40,2074,850040268001,G008,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516828,50,2074,850040372,G008,SL01,4,EA,280.44,1,280.44,YSTD - -5.46%,0,0.0,-5.46%,-15.312024000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.312024000000001
4103516828,60,2074,850040363,G008,SL01,6,EA,192.42,1,192.42,YSTD - -5.46%,0,0.0,-5.46%,-10.506132,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-10.506132
4103516828,70,2074,850040362,G008,SL01,12,EA,450.0,1,450.0,YSTD - -5.46%,0,0.0,-5.46%,-24.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-24.57
4103516828,80,2074,850040361,G008,SL01,6,EA,290.22,1,290.22,YSTD - -5.46%,0,0.0,-5.46%,-15.846012000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.846012000000002
4103516828,90,2074,850040336,G008,SL01,12,EA,384.84,1,384.84,YSTD - -5.46%,0,0.0,-5.46%,-21.012264,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-21.012264
4103516828,100,2074,850040143,G008,SL01,12,EA,319.56,1,319.56,YSTD - -5.46%,0,0.0,-5.46%,-17.447976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-17.447976
4103516828,110,2074,850040142,G008,SL01,6,EA,192.42,1,192.42,YSTD - -5.46%,0,0.0,-5.46%,-10.506132,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-10.506132
4103516828,120,2074,850040125,G008,SL01,6,EA,277.2,1,277.2,YSTD - -5.46%,0,0.0,-5.46%,-15.13512,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.13512
4103516828,130,2074,850040103,G008,SL01,4,EA,258.28,1,258.28,YSTD - -5.46%,0,0.0,-5.46%,-14.102087999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-14.102087999999998
4103516828,140,2074,850040102,G008,SL01,6,EA,280.26,1,280.26,YSTD - -5.46%,0,0.0,-5.46%,-15.302196,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.302196
4103516828,150,2074,850040080,G008,SL01,6,EA,206.22,1,206.22,YSTD - -5.46%,0,0.0,-5.46%,-11.259612,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-11.259612
4103516829,10,2074,850040080,G010,SL01,6,EA,206.22,1,206.22,YSTD - -5.46%,0,0.0,-5.46%,-11.259612,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-11.259612
4103516829,20,2074,850040102,G010,SL01,6,EA,280.26,1,280.26,YSTD - -5.46%,0,0.0,-5.46%,-15.302196,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.302196
